Don Bragg	USA 
Georgina Wheatcroft	CAN 
Karri Willms	CAN 
Zhang Zhipeng	CHN 
Jenny Addams	BEL 
Jean-Pierre Allemand	FRA 
Jules Amez-Droz	SUI 
Bohdan Andrzejewski	POL 
Robert Andrzejuk	POL 
Betty Arbuthnott	GBR 
Cécile Argiolas	FRA 
Édouard Artigas	FRA 
Aldo Aureggi	ITA 
Anton Avdeyev	RUS 
Sebastian Bachmann	GER 
Gustave Ballister	BEL 
Lajos Balthazár	HUN 
Leszek Bandach	POL 
Árpád Bárány	HUN 
Émile Barbier	BEL 
Kazimierz Barburski	POL 
Ulla Barding-Poulsen	DEN 
Bernard Baudoux	FRA 
Dennis Bauer	GER 
Ernst Baylon	AUT 
Robert Bayot	BEL 
Jolanta Bebel-Rzymowska	POL 
Frank Beck	FRG 
Matthias Behr	FRG 
Laurent Bel	FRA 
Achim Bellmann	FRG 
Tibor Berczelly	HUN 
László Berti	HUN 
Barnabás Berzsenyi	HUN 
Jacek Bierkowski	POL 
Anita Blaze	FRA 
Jo de Boer	NED 
Leonid Bogdanov	URS 
Erna Bogen	HUN 
Franck Boidin	FRA 
Philippe Boisse	FRA 
Yves Boissier	FRA 
André Bonin	FRA 
Philippe Bonnin	FRA 
Elmar Borrmann	GER 
Peer Borsky	SUI 
Saoussen Boudiaf	FRA 
Georges de Bourguignon	BEL 
Jürgen Brecht	GER 
Richard Breutner	GER 
Claude Brodin	FRA 
Jacques Brodin	FRA 
Wouter Brouwer	NED 
Raymond Bru	BEL 
Manon Brunet	FRA 
Richard Brünner	AUT 
Géo Buchard	FRA 
Jéhan de Buhan	FRA 
István Busa	HUN 
Giampaolo Calanchini	ITA 
Attilio Calatroni	ITA 
Per Carleson	SWE 
Dante Carniel	ITA 
Stefano Carozzo	ITA 
Erwin Casmir	GER 
Frank Cervell	SWE 
Yevgeny Cherepovsky	URS 
Valentin Chernikov	URS 
Arnold Chernushevich	URS 
Pierluigi Chicca	ITA 
Gaston Cornereau	FRA 
Mario Curletto	ITA 
Sarah Daninthe	FRA 
Margit Danÿ	HUN 
Xavier De Beukelaer	BEL 
Arturo De Vecchi	ITA 
Bianca Del Carretto	ITA 
Kate Delbarre	FRA 
Gábor Delneky	HUN 
Charles Delporte	BEL 
Philippe Delrieu	FRA 
Vladimir Denisov	URS 
Marcel Desprets	FRA 
Andrey Deyev	RUS 
Annette Dobmeier	GER 
Władysław Dobrowolski	POL 
Hans Drakenberg	SWE 
Odette Drand	FRA 
Willem Driebergen	NED 
Agnieszka Dubrawska	POL 
Henri Dulieux	FRA 
Rareș Dumitrescu	ROU 
Pál Dunay	HUN 
Imke Duplitzer	GER 
Traudl Ebert	AUT 
Julius Eisenecker	GER 
Margit Elek	HUN 
Helena Elinder	SWE 
Thomas Endres	FRG 
Aris Enkelmann	GDR 
Sándor Erdős	HUN 
Arianna Errigo	ITA 
Hans Esser	GER 
Kurt Ettinger	AUT 
Guy Evéquoz	SUI 
Sven Fahlman	SWE 
Ildikó Farkasinszky-Bóbis	HUN 
Marcel Faure	FRA 
Attila Fekete	HUN 
Robert Felisiak	GER 
Csaba Fenyvesi	HUN 
Anja Fichtel-Mauritz	GER 
Jörg Fiedler	GER 
Roman Fischer	AUT 
Volker Fischer	FRG 
Göran Flodström	SWE 
Kende Fodor	HUN 
Carl Forssell	SWE 
Egon Franke	POL 
Hervarth Frass von Friedenfeldt	TCH 
Tadeusz Friedrich	POL 
Mihály Fülöp	HUN 
Tamás Gábor	HUN 
Patrice Gaille	SUI 
André Gardère	FRA 
Edward Gardère	FRA 
Renée Garilhe	FRA 
Dan Găureanu	ROU 
Eugen Geiwitz	GER 
Ivar Genesjö	SWE 
Adrian Germanus	GDR 
Tim Gerresheim	GER 
Matthias Gey	FRG 
Cătălina Gheorghițoaia	ROU 
Daniel Giger	SUI 
Yelena Glikina	URS 
Gyula Glykais	HUN 
Helga Gnauer	AUT 
Arkadiusz Godel	POL 
Carolin Golubytskyi	GER 
Sándor Gombos	HUN 
Françoise Gouny	FRA 
Hans Granfelt	SWE 
Hervé Granger-Veyron	FRA 
Elisabeth Grasser	AUT 
Rossella Gregorio	ITA 
Daniel Grigore	ROU 
Claudia Grigorescu	ROU 
Carl Gripenstedt	SWE 
Yelena Grishina	URS 
Maria Grötzer	AUT 
Sylwia Gruchała	POL 
Henri Guérin	FRA 
José Francisco Guerra	ESP 
Pierre Guichot	FRA 
Judy Guinness Penn-Hughes	GBR 
Loreta Gulotta	ITA 
Brice Guyart	FRA 
Béla Gyarmati	HUN 
Gianna Hablützel-Bürki	SUI 
János Hajdú	HUN 
Nick Halsted	GBR 
Ferenc Hammang	HUN 
Karl Hanisch	AUT 
Johan Harmenberg	SWE 
Ray Harrison	GBR 
Max Hartung	GER 
Hedwig Haß	GER 
Ottó Hátszeghy	HUN 
Raoul Heide	NOR 
Britta Heidemann	GER 
August Heim	GER 
Harald Hein	FRG 
Nils Hellsten	SWE 
Raoul Henkart	BEL 
Jean-Michel Henry	FRA 
François Heywaert	BEL 
Youssef Hocine	FRA 
Leif Högström	SWE 
Helmi Höhle	GER 
Jutta Höhne	FRG 
Zoltán Horváth	HUN 
Jens Howe	GDR 
Jacek Huchwajda	GER 
Maurice Huet	FRA 
Eva-Maria Ittner	GER 
Marin Ivanov	BUL 
Hans Jacobson	SWE 
Olivier Jacquet	SUI 
Joanna Jakimiuk	POL 
Max Janlet	BEL 
Norbert Jaskot	POL 
Ferdinand Jassogne	BEL 
Fabrice Jeannet	FRA 
Jérôme Jeannet	FRA 
Yelena Jemayeva	AZE 
Arie de Jong	NED 
Orvar Jönsson	SWE 
Peter Joppich	GER 
Hans-Georg Jörger	GER 
Fernand Jourdant	FRA 
Katalin Juhász-Nagy	HUN 
Jaroslav Jurka	TCH 
Kaido Kaaberma	EST 
Jindřich Kakos	TCH 
Gusztáv Kálniczky	HUN 
Piotr Kiełpikowski	POL 
Ute Kircheis-Wessel	FRG 
Bohuslav Kirchmann	TCH 
Benjamin Kleibrink	GER 
Inger Klint	DEN 
Olga Knyazeva	URS 
Sergey Kochetkov	RUS 
Violetta Kolobova	RUS 
Rita König	GER 
Boris Koretsky	URS 
Sergey Kostarev	EUN 
Guram Kostava	URS 
Andrzej Kostrzewa	POL 
Grigory Kriss	URS 
Jolanta Królikowska	POL 
Éva Kun	HUN 
Ryszard Kunze	POL 
Marek Kuszewski	POL 
Kristina Kuusk	EST 
Lev Kuznetsov	URS 
André Labatut	FRA 
Karen Lachmann	DEN 
Jean Lacroix	FRA 
Hans Lagerwall	SWE 
Olivier Lambert	FRA 
Sophie Lamon	SUI 
Gabriella Lantos	HUN 
Vladimir Lapitsky	URS 
Lars-Erik Larsson	SWE 
Kazimierz Laskowski	POL 
Jacques Lataste	FRA 
Lylian Lecomte-Guyonneau	FRA 
Gérard Lefranc	FRA 
Minna Lehtola	FIN 
Charlotte Lembach	FRA 
René Lemoine	FRA 
Balázs Lengyel	HUN 
Henri Lepage	FRA 
Siegfried Lerdon	GER 
Patrice Lhôtellier	FRA 
Elena Libera	ITA 
Aliaksei Likhacheuski	BLR 
Nicolas Limbach	GER 
Bo Lindman	SWE 
Orvar Lindwall	SWE 
Hans Lion	AUT 
Robert Liottel	FRA 
Bengt Ljungquist	SWE 
Peter Loetscher	SUI 
Meelis Loit	EST 
Nicolas Lopez	FRA 
Giulia Lorenzoni	ITA 
Josef Losert	AUT 
Mogens Lüchow	DEN 
Florin Lupeică	ROU 
Krystyna Machnicka-Urbańska	POL 
Kate Mahaut	DEN 
Françoise Mailliard	FRA 
Corinne Maîtrejean	FRA 
Janusz Majewski	POL 
Louisette Malherbaud	FRA 
Göran Malkar	SWE 
Ilgar Mamedov	RUS 
Marco Antonio Mandruzzato	ITA 
Marcel Marcilloux	FRA 
Fiorenzo Marini	ITA 
Anca Măroiu	ROU 
Magda Maros	HUN 
Paula Marosi	HUN 
Györgyi Marvalics-Székely	HUN 
Solène Mary	FRA 
Aldo Masciotta	ITA 
Giovanna Masciotta	ITA 
Lajos Maszlay	HUN 
Zbigniew Matwiejew	POL 
Helene Mayer	GER 
Mariya Mazina	RUS 
Umberto Menegalli	SUI 
Mark Midler	URS 
Renzo Minoli	ITA 
Clara Mochi	ITA 
Laurence Modaine-Cessac	FRA 
Viktor Modzalevsky	URS 
Tommaso Montano	ITA 
Antonius Montfoort	NED 
Fernand de Montigny	BEL 
Heinrich Moos	GER 
Sophie Moressée-Pichot	FRA 
Frans Mosman	NED 
Tomasz Motyka	POL 
Magdalena Mroczkiewicz	POL 
Jean-Pierre Muller	FRA 
Gerda Munck	DEN 
Ambrus Nagy	HUN 
Orsolya Nagy	HUN 
Pál B. Nagy	HUN 
József Navarrete	HUN 
Rafael Nickel	FRG 
Henryk Nielaba	POL 
Claude Nigon	FRA 
Jürgen Nolte	GER 
Giuliano Nostini	ITA 
Magda Nyári-Kovács	HUN 
Hugues Obry	FRA 
Olga Oelkers	GER 
Brigitte Oertel	FRG 
Grete Olsen	DEN 
Ecaterina Orb-Lazăr	ROU 
Endre Palócz	HUN 
Serge Panizza	FRA 
Adam Papée	POL 
Bertalan Papp	HUN 
Jacques Parent	FRA 
Park Hui-Gyeong	KOR 
Aleksandr Pavlovsky	URS 
Zygmunt Pawlas	POL 
Jerzy Pawłowski	POL 
Pierre Pêcher	BEL 
Michel Pécheux	FRA 
Erwann Le Péchoux	FRA 
Manuel Pereira	ESP 
Marc Perrodon	FRA 
Tatyana Petrenko-Samusenko	URS 
Alfredo Pezzana	ITA 
Andrzej Piątkowski	POL 
Magdalena Piekarska	POL 
Frédéric Pietruszka	FRA 
Ugo Pignotti	ITA 
Tadeusz Piguła	POL 
Julien Pillet	FRA 
Vincenzo Pinton	ITA 
Maurice Piot	FRA 
Michel Poffet	SUI 
Valery Pryiemka	BLR 
Alexander Pusch	FRG 
József Rády	HUN 
Antonella Ragno-Lonzi	ITA 
Saverio Ragno	ITA 
Carmen Raisová	TCH 
László Rajcsányi	HUN 
Imre Rajczy	HUN 
Valentina Rastvorova	URS 
Berndt-Otto Rehbinder	SWE 
Klaus Reichert	FRG 
Wladimir Reznitschenko	GER 
Franco Riccardi	ITA 
Ulrich Robeiri	FRA 
Heidi Rohi	EST 
Diana Romagnoli	SUI 
Uwe Römer	GER 
Stefan Rosenbauer	GER 
Alfredo Rota	ITA 
Gérard Rousset	FRA 
György Rozgonyi	HUN 
Yury Rudov	URS 
Karin Rutz-Gießelmann	FRG 
Anna Rybicka	POL 
Nils Rydström	SWE 
Yakov Rylsky	URS 
Tatyana Sadovskaya	URS 
Emilio Salafia	ITA 
Emma Samuelsson	SWE 
John Sandwall	SWE 
Natalina Sanguinetti	ITA 
Anja Schache	GER 
Bernard Schmetz	FRA 
Sven Schmid	GER 
Dieter Schmitt	GER 
Ulrich Schreck	GER 
Marie Šedivá	TCH 
Władysław Segda	POL 
Seo Ji-Yeon	KOR 
Aleksandr Shirshov	EUN 
Nadezhda Shitikova	URS 
Victor Sintès	ALG 
Delfina Skąpska	POL 
Marcin Sobala	POL 
Franciszek Sobczak	POL 
Antoni Sobik	POL 
Péter Somfai	HUN 
Monika Sozanska	GER 
Cristina Stahl	ROU 
Raymond Stasse	BEL 
Daniel Strigel	GER 
Helga Stroh	GER 
Silvia Strukel	ITA 
Jerzy Strzałka	POL 
Pavel Sukhov	RUS 
Per Sundberg	SWE 
Leszek Suski	POL 
Marian Suski	POL 
German Sveshnikov	URS 
Marian Sypniewski	POL 
Matyas Szabo	GER 
Sándor Szabó	HUN 
Vilmoș Szabo	ROU 
Emese Szász-Kovács	HUN 
Kazimierz Szempliński	POL 
Áron Szilágyi	HUN 
Mária Szolnoki	HUN 
Robert T'Sas	BEL 
Maurice Taillandier	FRA 
Anwar Tawfik	EGY 
Rodolfo Terlizzi	ITA 
Jürgen Theuerkauff	GER 
Fernand Thiébaud	SUI 
Sonja Tol	NED 
Léon Tom	BEL 
Hajnalka Tóth	HUN 
Jean-François Tournon	FRA 
Anne-Lise Touya	FRA 
Damien Touya	FRA 
Geoffrey Trinder	GBR 
Rudolf Trost	AUT 
Jerzy Twardokens	POL 
David Tyshler	URS 
Bertil Uggla	SWE 
Jenő Uhlyárik	HUN 
Irina Ushakova	URS 
Paul Valcke	BEL 
Mario Valota	SUI 
André Van De Werve De Vorsselaer	BEL 
Marcel Van Der Auwera	BEL 
Péter Vánky	SWE 
Ilona Vargha	HUN 
Irene Vecchi	ITA 
Régine Veronnet	FRA 
Ciro Verratti	ITA 
Bas Verwijlen	NED 
Joaquim Videira	POR 
Eduard Vinokurov	URS 
Iosif Vitebsky	URS 
František Vohryzek	TCH 
Helga Volz-Mees	GER 
Maarika Võsu	EST 
Katja Wächter	GER 
Carl Johan Wachtmeister	SWE 
Benedikt Wagner	GER 
Udo Wagner	GDR 
Richard Wahl	GER 
Becca Ward	USA 
Monika Weber-Koszto	GER 
Hugo Weczerek	AUT 
Ingo Weißenborn	GER 
Fritzi Wenisch-Filz	AUT 
Fritz Wessel	FRG 
André Weßels	GER 
Adam Wiercioch	POL 
Pieter van Wieringen	NED 
Henri Wijnoldy-Daniëls	NED 
Małgorzata Wojtkowiak	POL 
Emma Yefimova	URS 
Yuan Li	CHN 
Édouard Yves	BEL 
Aleksandra Zabelina	URS 
Wojciech Zabłocki	POL 
Vitali Zakharau	BLR 
Valery Zakharevich	RUS 
Florin Zalomir	ROU 
Radosław Zawrotniak	POL 
Ryszard Zub	POL 
Bogusław Zych	POL 
Ben Agosto	USA 
Tenley Albright	USA 
Scotty Allen	USA 
Miki Ando	JPN 
Mao Asada	JPN 
Tai Babilonia	USA 
Sherwin Badger	USA 
Randi Bakke	NOR 
Evan Bates	USA 
Ginny Baxter	USA 
Tanith Belbin	USA 
Alfred Berger	AUT 
Nicole Bobek	USA 
Shae-Lynn Bourne	CAN 
Norris Bowden	CAN 
Christopher Bowman	USA 
Isabelle Brasseur	CAN 
Ellen Brockhöft	GER 
Tim Brown	USA 
Kurt Browning	CAN 
Melitta Brunner	AUT 
Alexia Bryn	NOR 
Yngvar Bryn	NOR 
Petra Burka	CAN 
Jeff Buttle	CAN 
John Carrell	USA 
Kitty Carruthers	USA 
Peter Carruthers	USA 
Galit Chait	ISR 
Patrick Chan	CAN 
Nathan Chen	USA 
Tiffany Chin	USA 
Madison Chock	USA 
Christen Christensen	NOR 
Toller Cranston	CAN 
Frances Dafoe	CAN 
Gabrielle Daleman	CAN 
Meryl Davis	USA 
Bryce Davison	CAN 
Wallace Diestelmeyer	CAN 
Zach Donohue	USA 
Jessica Dubé	CAN 
Marie-France Dubreuil	CAN 
Meagan Duhamel	CAN 
Jack Dunn	GBR 
Lorna Dyer	USA 
Lloyd Eisler	CAN 
Todd Eldredge	USA 
Helene Engelmann	AUT 
Linda Fratianne	USA 
Randy Gardner	USA 
Timothy Goebel	USA 
Gillis Grafström	SWE 
Dorothy Greenhough-Smith	GBR 
Wendy Griner	CAN 
Jim Grogan	USA 
Vanessa Gusmeroli	FRA 
Yuzuru Hanyu	JPN 
Tonya Harding	USA 
Julie Lynn Holmes	USA 
Madison Hubbell	USA 
Annie Hübler	GER 
Midori Ito	JPN 
Ludowika Jakobsson-Eilers	FIN 
Walter Jakobsson	FIN 
Maria Jelinek	CAN 
Otto Jelinek	CAN 
Hayes Jenkins	USA 
Richard Johansson	SWE 
Phyllis Johnson	GBR 
Lyndon Johnston	CAN 
Ron Joseph	USA 
Vivian Joseph	USA 
Caryn Kadavy	USA 
Otto Kaiser	AUT 
Cindy Kauffman	USA 
Ronnie Kauffman	USA 
Karol Kennedy	USA 
Peter Kennedy	USA 
Yu-Na Kim	KOR 
Sonya Klopfer	USA 
Donald Knight	CAN 
Victor Kraatz	CAN 
Natasha Kuchiki	USA 
Patrice Lauzon	CAN 
Tara Lipinski	USA 
René Lohse	GER 
Beatrix Loughran	USA 
Nancy Ludington	USA 
Ron Ludington	USA 
Janet Lynn	USA 
Tatsuki Machida	JPN 
Karen Magnussen	CAN 
Elizabeth Manley	CAN 
Paul Martini	CAN 
Katherina Matousek	CAN 
Warren Maxwell	GBR 
Rob McCall	CAN 
William McLachlan	CAN 
Donald McPherson	CAN 
Kimmie Meissner	USA 
Jenni Meno	USA 
Jim Millns, Jr.	USA 
Satoko Miyahara	JPN 
Margot Moe	NOR 
Scott Moir	CAN 
Suzi Morrow	CAN 
Ethel Muckelt	GBR 
Mirko Müller	GER 
Jiřína Nekolová	TCH 
Svea Norén	SWE 
Colleen O'Connor	USA 
Peter Oppegard	USA 
Brian Orser	CAN 
Kaetlyn Osmond	CAN 
Herma Planck-Szabo	AUT 
Brian Pockar	CAN 
Andrew Poje	CAN 
Eric Radford	CAN 
Joannie Rochette	CAN 
Barbara Ann Roles	USA 
Sergey Sakhnovsky	ISR 
Minoru Sano	JPN 
David Santee	USA 
Judy Schwomeyer	USA 
Michael Seibert	USA 
Kathleen Shaw	GBR 
Ken Shelley	USA 
Yvonne Sherman	USA 
Alex Shibutani	USA 
Maia Shibutani	USA 
Karen Simensen	NOR 
Jim Sladky	USA 
Charles Snelling	CAN 
Hedy Stenuf	AUT 
Elvis Stojko	CAN 
Rosalyn Sumners	USA 
Edgar Syers	GBR 
Madge Syers	GBR 
Narumi Takahashi	JPN 
Debi Thomas	USA 
Janet Thompson	GBR 
Charlie Tickner	USA 
Jill Trenary	USA 
Roger Turner	USA 
Barbara Underhill	CAN 
Tessa Virtue	CAN 
Gary Visconti	USA 
Ashley Wagner	USA 
Barbara Wagner	CAN 
Emi Watanabe	JPN 
Jill Watson	USA 
Kaitlyn Weaver	CAN 
Charlie White, Jr.	USA 
Debbi Wilkes	CAN 
Constance Wilson-Samuel	CAN 
Bud Wilson	CAN 
Tracy Wilson	CAN 
Kati Winkler	GER 
Tim Wood	USA 
Kristi Yamaguchi	USA 
Elaine Zayak	USA 
Vincent Zhou	USA 
Oleksandr Abramenko	UKR 
Jakara Anthony	AUS 
Dmitry Arkhipov	RUS 
Izzy Atkin	GBR 
Jean-Marc Bacquin	FRA 
Shannon Bahrke	USA 
Lucie Barma	CAN 
Alizée Baron	FRA 
Davey Barr	CAN 
Yelena Batalova	EUN 
Ann Battelle	USA 
Veronika Bauer	CAN 
Heini Baumgartner	SUI 
Jeff Bean	CAN 
Alex Beaulieu-Marchand	CAN 
Fabrice Becker	FRA 
Dale Begg-Smith	AUS 
Anthony Benna	FRA 
Eric Bergoust	USA 
Éric Berthon	FRA 
Xavier Bertoni	FRA 
Alex Bilodeau	CAN 
Jürg Biner	SUI 
Jeremy Bloom	USA 
Corinne Bodmer	SUI 
Hugo Bonatti	AUT 
Fabian Bösch	SUI 
Noah Bowman	CAN 
Tami Bradley	CAN 
Bernard Brandt	SUI 
Jean-Luc Brassard	CAN 
Ellen Breen	USA 
Veronica Brenner	CAN 
Jan Bucher	USA 
Ashley Caldwell	USA 
Alisa Camplin	AUS 
Andy Capicik	CAN 
Anaïs Caradeux	FRA 
Jean-Frédéric Chapuis	FRA 
Lina Cheryazova	EUN 
Richard Cobbing	GBR 
Guilbaut Colas	FRA 
Jacqui Cooper	AUS 
Olivier Cotte	FRA 
Britt Cox	AUS 
Emma Dahlström	SWE 
Dzmitry Dashchynski	BLR 
Toby Dawson	USA 
Chris Del Bosco	CAN 
Patrick Deneen	USA 
Maria Despas	AUS 
Deidra Dionne	CAN 
Justin Dorey	CAN 
Kevin Drury	CAN 
Chloé Dufour-Lapointe	CAN 
Justine Dufour-Lapointe	CAN 
Cathy Féchoz	FRA 
Filip Flisar	SLO 
Nicolas Fontaine	CAN 
Sébastien Foucras	FRA 
Roberto Franco	ITA 
Anna Fraser	CAN 
Georg Fürmeier	FRG 
Marc-Antoine Gagnon	CAN 
Enak Gavaggio	FRA 
Travis Gerrits	CAN 
Candice Gilg	FRA 
Youri Gilg	FRA 
Nick Goepper	USA 
Matt Graham	AUS 
Johann Grégoire	FRA 
Roz Groenewoud	CAN 
Audun Grønvold	NOR 
Edgar Grospiron	FRA 
Guo Xinxin	CHN 
Nicolas Gygax	SUI 
Keltie Hansen	CAN 
Henrik Harlaut	SWE 
Stine Lise Hattestad	NOR 
Stanley Hayer	CAN 
Jennifer Heil	CAN 
Russ Henshaw	AUS 
Keri Herman	USA 
Carin Hernskog	SWE 
Martí Herrero	ESP 
Anna Holmlund	SWE 
Dara Howell	CAN 
Aliaksei Hryshyn	BLR 
Maksim Hustsik	BLR 
Magdalena Iljans	SWE 
Mirjam Jaeger	SUI 
Annika Johansson	SWE 
Liselotte Johansson	SWE 
Tess Johnson	USA 
Jaelin Kauf	USA 
Hannah Kearney	USA 
Martti Kellokumpu	FIN 
Birgit Keppler-Stein	GER 
Mikaël Kingsbury	CAN 
Conny Kissling	SUI 
Veronika Korsunova	RUS 
Julia Krass	USA 
Thomas Krief	FRA 
Rune Kristiansen	NOR 
Katherina Kubenk	CAN 
Aleh Kulieshou	BLR 
Oksana Kushchenko	RUS 
Anton Kushnir	BLR 
Éric Laboureix	FRA 
Perrine Laffont	FRA 
Janne Lahtela	FIN 
Lloyd Langlois	CAN 
Philippe LaRoche	CAN 
Lauri Lassila	FIN 
Tess Ledeux	FRA 
Brady Leman	CAN 
Yannic Lerjen	SUI 
Evelyne Leu	SUI 
Hilde Synnøve Lid	NOR 
Jon Lillis	USA 
Andrea Limbacher	AUT 
Marie Lindgren	SWE 
Devin Logan	USA 
Cathérine Lombard	FRA 
Tapio Luusua	FIN 
Margarita Marbler	AUT 
Silvia Marciandi	ITA 
Philippe Marquis	CAN 
Vincent Marquis	CAN 
Kirstie Marshall	AUS 
Chuck Martin	USA 
Marie Martinod	FRA 
Andreas Matt	AUT 
Ashleigh McIvor	CAN 
Kiley McKinnon	USA 
Didier Méda	FRA 
Tatjana Mittermayer	GER 
Raphaëlle Monod	FRA 
Marc-André Moreau	CAN 
Petra Moroder	ITA 
David Morris	AUS 
Jonny Moseley	USA 
Petsch Moser	SUI 
Julia Murray	CAN 
Sami Mustonen	FIN 
Sandra Näslund	SWE 
Nobuyuki Nishi	JPN 
Victor Öhling Norberg	SWE 
Steve Omischl	CAN 
Ayana Onozuka	JPN 
Nataliya Orekhova	RUS 
Joe Pack	USA 
Melanie Palenik	USA 
Laura Peel	AUS 
Jouni Pellinen	FIN 
Sharon Petzold	USA 
François Place	FRA 
Kriste Porter	USA 
Jamie Prebble	NZL 
Qi Guangpu	CHN 
Maria Quintana	USA 
Ophélie Rácz-David	FRA 
Sonja Reichart	GER 
Hermann Reitberger	FRG 
Kristi Richards	CAN 
Mike Riddle	CAN 
Christian Rijavec	AUT 
Michelle Roark	USA 
Nate Roberts	USA 
Stéphane Rochon	CAN 
Michèle Rohrbach	SUI 
Kévin Rolland	FRA 
Mikko Ronkainen	FIN 
Jesper Rönnbäck	SWE 
Christine Rossi	FRA 
Noé Roth	SUI 
Pierre-Alexandre Rousseau	CAN 
Birk Ruud	NOR 
Debby Scanzio	ITA 
Maja Schmid	SUI 
Danielle Scott	AUS 
Anna Segal	AUS 
Vasilisa Semenchuk	URS 
Kelsey Serwa	CAN 
Ruslan Sharifullin	RUS 
Cassie Sharpe	CAN 
Warren Shouldice	CAN 
Brita Sigourney	USA 
Kelly Sildaru	EST 
Elfie Simchen	GER 
Assol Slivets	BLR 
Fanny Smith	SUI 
Aleksandr Smyshlyayev	OAR 
Lane Spina	USA 
Stéphanie St-Pierre	CAN 
Ryan St. Onge	USA 
Nikki Stone	USA 
Nikola Sudová	CZE 
Katie Summerhayes	GBR 
Patrik Sundberg	SWE 
John Teller	USA 
Bronwen Thomas	CAN 
Marielle Thompson	CAN 
Kari Traa	NOR 
Kaya Turski	CAN 
Olha Volkova	UKR 
David Walker	CAN 
Wang Xindi	CHN 
Donna Weinbrecht	USA 
McRae Williams	USA 
Brad Wilson	USA 
David Wise	USA 
James Woods	GBR 
Trace Worthington	USA 
Torin Yater-Wallace	USA 
Thomas Zangerl	AUT 
Lisa Zimmermann	GER 
Antti Aalto	FIN 
Juhamatti Aaltonen	FIN 
Clarence Abel	USA 
George Abel	CAN 
Maksim Afinogenov	RUS 
Meghan Agosta	CAN 
Jonas Ahnelöv	SWE 
Pirjo Ahonen	FIN 
Mika Alatalo	FIN 
Nadezhda Aleksandrova	OAR 
Daniel Alfredsson	SWE 
Andres Ambühl	SUI 
Glenn Anderson	CAN 
Ty Anderson	USA 
William Anderson	GBR 
Emilia Andersson-Ramboldt	SWE 
Cecilia Andersson	SWE 
Mikael Andersson	SWE 
Sergey Andronov	OAR 
Artyom Anisimov	RUS 
Dana Antal	CAN 
Sophie Anthamatten	SUI 
Marko Anttila	FIN 
Gillian Apps	CAN 
Mark Arcobello	USA 
Magnus Arvedson	SWE 
Jenni Asserholt	SWE 
Bob Attersley	CAN 
Patrik Augusta	TCH 
Dick Axelsson	SWE 
Per-Johan Axelsson	SWE 
Christian Bäckman	SWE 
Niklas Bäckström	FIN 
Chris Bailey	USA 
Francis Baker	USA 
Laurie Baker	USA 
Aleksandr Barabanov	OAR 
Ivan Baranka	SVK 
Michal Barinka	CZE 
Aleksander Barkov	FIN 
Cayla Barnes	USA 
Ľuboš Bartečko	SVK 
Milan Bartovič	SVK 
Kelly Béchard	CAN 
Gary Begg	CAN 
Kacey Bellamy	USA 
Anton Belov	RUS 
Moe Benoit	CAN 
Bobby Benson	CAN 
Johnny Bent	USA 
Sara Benz	SUI 
Josef Beránek	CZE 
Aki-Petteri Berg	FIN 
Patrik Berglund	SWE 
Anders Bergman	SWE 
Reto Berra	SUI 
Matthias Bieber	SUI 
Rube Bjorkman	USA 
Alana Blahoski	USA 
Miroslav Blat'ák	CZE 
Severin Blindenbacher	SUI 
Eric Blum	SUI 
Yelena Bobrova	RUS 
Sergey Bobrovsky	RUS 
Simon Bodenmann	SUI 
Peter Bondra	SVK 
Tessa Bonhomme	CAN 
Ray Bonney	USA 
Jennifer Botterill	CAN 
Charles Boulden	GBR 
Roger Bourbonnais	CAN 
Megan Bozek	USA 
Bailey Bram	CAN 
Hannah Brandt	USA 
Eric Brewer	CAN 
Rod Brind'Amour	CAN 
Thérèse Brisson	CAN 
Ken Broderick	CAN 
Denis Brodeur	CAN 
Charlie Brooker	CAN 
Hubert Brooks	CAN 
Dustin Brown	USA 
Ilya Bryzgalov	RUS 
Jan Bulis	CZE 
Nicole Bullo	SUI 
Tatyana Burina	RUS 
Sean Burke	CAN 
Wellington Burtnett, Jr.	USA 
Bobby Butler	USA 
Karyn Bye	USA 
Wally Byron	CAN 
Ray Cadieux	CAN 
Caitlin Cahow	USA 
Petr Čajánek	CZE 
Jan Čaloun	CZE 
Dani Cameranesi	USA 
Jack Cameron	CAN 
Cassie Campbell	CAN 
Gene Campbell	USA 
Patrik Carnbäck	SWE 
Alex Carpenter	USA 
Lorne Carr-Harris	GBR 
Roman Čechmánek	CZE 
Lenny Ceglarski	USA 
Roman Červenka	CZE 
Zdeno Chára	SVK 
Isabelle Chartrand	CAN 
John Chase	USA 
Lisa Chesson	USA 
Billy Christian	USA 
Gordy Christian	USA 
Rog Christian	USA 
Julie Chu	USA 
Emily Clark	CAN 
Guy Clarkson	GBR 
Bill Cleary, Jr.	USA 
Bobby Cleary	USA 
Bill Cockburn	CAN 
Ernie Collett	CAN 
Bill Colvin	CAN 
Paul Conlin	CAN 
Jim Connelly	CAN 
Tony Conroy	USA 
John Cookman	USA 
Paul Coppo	USA 
Shayne Corson	CAN 
Enzo Corvi	SUI 
Russ Courtnall	CAN 
Colleen Coyne	USA 
Kendall Coyne	USA 
Cliff Crowley	CAN 
Luca Cunti	SUI 
Joe Czarnota	USA 
Andreas Dackell	SWE 
Melodie Daoust	CAN 
Natalie Darwitz	USA 
Jack Davies	CAN 
Lorne Davis	CAN 
Billy Dawe	CAN 
